1218703433	20250103	202501	2025	2025.0082	DZA	ALGERIAN	DZA								RUS	RUSSIA	RUS								0	190	190	19	4	-10.0	1	1	1	-2.60736196319018	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	20250103141500	https://www.newarab.com/news/algeria-and-russia-seek-mend-ties-after-wagner-attacks
1218703434	20250103	202501	2025	2025.0082	DZA	ALGERIAN	DZA								RUS	RUSSIA	RUS								0	190	190	19	4	-10.0	7	1	7	-2.60736196319018	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250103141500	https://www.newarab.com/news/algeria-and-russia-seek-mend-ties-after-wagner-attacks
1218703435	20250103	202501	2025	2025.0082	EDU	UNIVERSITY						EDU													1	071	071	07	2	7.4	8	1	8	0.13440860215054	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	0								3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	20250103141500	https://www.phillytrib.com/news/health/penn-expecting-467m-windfall-from-covid-19-vaccine-royalty-dispute/article_0bf3f50d-c4fb-54ac-a1fb-1d74733d259e.html
1218703436	20250103	202501	2025	2025.0082	EDU	SCHOOL						EDU													0	071	071	07	2	7.4	10	1	10	-0.45248868778281	2	Idaho, United States	US	USID		44.2394	-114.51	ID	0								2	Idaho, United States	US	USID		44.2394	-114.51	ID	20250103141500	https://www.mtexpress.com/news/education/bcsd-grappled-with-budget-shortfall-planned-for-the-future-in-2024/article_4f5bf972-c942-11ef-b28d-93754c284c51.html
1218703437	20250103	202501	2025	2025.0082	EDU	STUDENT						EDU													0	180	180	18	4	-9.0	3	1	3	-4.28571428571428	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	0								4	Chennai, Tamil Nadu, India	IN	IN25	70251	13.0833	80.2833	-2103041	20250103141500	https://aninews.in/news/national/general-news/bjp-leader-kushboo-demands-justice-in-anna-universitys-sexual-assault-case20250103192650/
1218703438	20250103	202501	2025	2025.0082	EDU	SCHOOL						EDU			CAN	CANADA	CAN								1	042	042	04	1	1.9	4	1	4	-2.59179265658747	4	Churchill Falls, Newfoundland, Canada	CA	CA05	154724	53.5833	-64.2833	-562618	4	Churchill Falls, Newfoundland, Canada	CA	CA05	154724	53.5833	-64.2833	-562618	4	Churchill Falls, Newfoundland, Canada	CA	CA05	154724	53.5833	-64.2833	-562618	20250103141500	https://www.cbc.ca/news/canada/newfoundland-labrador/dozens-of-n-l-residents-voice-concerns-over-tentative-churchill-falls-deal-during-ndp-town-hall-1.7422263
1218703439	20250103	202501	2025	2025.0082	EDU	UNIVERSITY						EDU			CHR	CHRISTIAN				CHR					1	036	036	03	1	4.0	10	1	10	2.88461538461538	3	Omaha, Nebraska, United States	US	USNE	NE055	41.2586	-95.9378	835483	3	Omaha, Nebraska, United States	US	USNE	NE055	41.2586	-95.9378	835483	3	Omaha, Nebraska, United States	US	USNE	NE055	41.2586	-95.9378	835483	20250103141500	https://fremonttribune.com/life-entertainment/local/faith-values/christian-womens-noon-connection-plan-jan-13-luncheon-in-fremont/article_612bd57a-c94f-11ef-bd10-f782dcdcea4f.html
1218703440	20250103	202501	2025	2025.0082	EDU	SCHOOL						EDU			COP	POLICE OFFICER						COP			0	051	051	05	1	3.4	10	1	10	0.8130081300813	0								0								0								20250103141500	https://www.kniakrls.com/2025/01/03/knoxville-police-chief-aaron-fuller-recaps-2024-and-looks-ahead-to-2025-on-todays-lets-talk-knoxville/
1218703441	20250103	202501	2025	2025.0082	EDU	STUDENT						EDU			COP	POLICE OFFICIALS						COP			1	112	112	11	3	-2.0	5	1	5	-1.83246073298429	0								0								0								20250103141500	https://aninews.in/news/national/general-news/assault-on-womens-dignity-if-proven-true-bjps-rachna-reddy-on-cmr-college-students-alleging-hidden-cameras-placed-by-hostel-staff20250103180913/
1218703442	20250103	202501	2025	2025.0082	EDU	STUDENT						EDU			COP	POLICE						COP			0	180	180	18	4	-9.0	2	1	2	-4.28571428571428	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	4	Chennai, Tamil Nadu, India	IN	IN25	70251	13.0833	80.2833	-2103041	4	Chennai, Tamil Nadu, India	IN	IN25	70251	13.0833	80.2833	-2103041	20250103141500	https://aninews.in/news/national/general-news/bjp-leader-kushboo-demands-justice-in-anna-universitys-sexual-assault-case20250103192650/
1218703443	20250103	202501	2025	2025.0082	EDU	UNIVERSITY						EDU			HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	2	1	2	1.62271805273834	4	Shirwal, Maharashtra, India	IN	IN16	17781	18.1333	73.9833	-2111135	4	Shirwal, Maharashtra, India	IN	IN16	17781	18.1333	73.9833	-2111135	4	Indrani, West Bengal, India	IN	IN28	17955	24.1333	88.0333	-2097811	20250103141500	https://aninews.in/news/national/general-news/maharashtra-cm-fadnavis-extends-his-greetings-on-the-birth-anniversary-of-social-reformer-savitribai-phule20250103180734/
1218703444	20250103	202501	2025	2025.0082	EDU	STUDENT						EDU			IND	NEW DELHI	IND								1	042	042	04	1	1.9	6	1	6	4.86577181208054	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20250103141500	https://aninews.in/news/business/vivekananda-institute-of-professional-studies-technical-campus-hosts-grand-finale-of-smart-india-hackathon-202420250103165030/
1218703445	20250103	202501	2025	2025.0082	EDU	STUDENT						EDU			IND	CHENNAI	IND								0	180	180	18	4	-9.0	2	1	2	-4.28571428571428	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	4	Chennai, Tamil Nadu, India	IN	IN25	70251	13.0833	80.2833	-2103041	4	Chennai, Tamil Nadu, India	IN	IN25	70251	13.0833	80.2833	-2103041	20250103141500	https://aninews.in/news/national/general-news/bjp-leader-kushboo-demands-justice-in-anna-universitys-sexual-assault-case20250103192650/
1218703446	20250103	202501	2025	2025.0082	EDU	STUDENT						EDU			IND	CHENNAI	IND								0	180	180	18	4	-9.0	2	1	2	-4.28571428571428	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	20250103141500	https://aninews.in/news/national/general-news/bjp-leader-kushboo-demands-justice-in-anna-universitys-sexual-assault-case20250103192650/
1218703447	20250103	202501	2025	2025.0082	EDU	STUDENT						EDU			INDCOP	CHENNAI	IND					COP			0	180	180	18	4	-9.0	1	1	1	-4.28571428571428	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	4	Chennai, Tamil Nadu, India	IN	IN25	70251	13.0833	80.2833	-2103041	4	Chennai, Tamil Nadu, India	IN	IN25	70251	13.0833	80.2833	-2103041	20250103141500	https://aninews.in/news/national/general-news/bjp-leader-kushboo-demands-justice-in-anna-universitys-sexual-assault-case20250103192650/
1218703448	20250103	202501	2025	2025.0082	EDU	PROFESSOR						EDU			IRL	IRELAND	IRL								1	016	016	01	1	-2.0	4	1	4	-9.28792569659443	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Tallaght, County South Dublin, Ireland	EI	EI39	18288	53.2878	-6.34111	-1505853	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20250103141500	https://www.irishtimes.com/crime-law/courts/2025/01/03/jury-resumes-considering-verdict-in-trial-of-law-professor-diarmuid-phelan/
1218703449	20250103	202501	2025	2025.0082	EDU	PROFESSOR						EDU			IRL	DUBLIN	IRL								1	120	120	12	3	-4.0	2	1	2	-9.28792569659443	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20250103141500	https://www.irishtimes.com/crime-law/courts/2025/01/03/jury-resumes-considering-verdict-in-trial-of-law-professor-diarmuid-phelan/
1218703450	20250103	202501	2025	2025.0082	EDU	PROFESSOR						EDU			IRL	DUBLIN	IRL								1	120	120	12	3	-4.0	6	1	6	-9.28792569659443	4	Tallaght, County South Dublin, Ireland	EI	EI39	18288	53.2878	-6.34111	-1505853	4	Tallaght, County South Dublin, Ireland	EI	EI39	18288	53.2878	-6.34111	-1505853	4	Tallaght, County South Dublin, Ireland	EI	EI39	18288	53.2878	-6.34111	-1505853	20250103141500	https://www.irishtimes.com/crime-law/courts/2025/01/03/jury-resumes-considering-verdict-in-trial-of-law-professor-diarmuid-phelan/
1218703451	20250103	202501	2025	2025.0082	EDU	PROFESSOR						EDU			IRLEDU	DUBLIN	IRL					EDU			1	016	016	01	1	-2.0	1	1	1	-9.28792569659443	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20250103141500	https://www.irishtimes.com/crime-law/courts/2025/01/03/jury-resumes-considering-verdict-in-trial-of-law-professor-diarmuid-phelan/
1218703452	20250103	202501	2025	2025.0082	EDU	SCHOOL						EDU			LAB	EMPLOYEE						LAB			0	192	192	19	4	-9.5	4	1	4	-0.45248868778281	3	Blaine County, Idaho, United States	US	USID	ID013	43.9166	-114.876	395696	3	Blaine County, Idaho, United States	US	USID		43.9166	-114.876	395696	3	Blaine County, Idaho, United States	US	USID		43.9166	-114.876	395696	20250103141500	https://www.mtexpress.com/news/education/bcsd-grappled-with-budget-shortfall-planned-for-the-future-in-2024/article_4f5bf972-c942-11ef-b28d-93754c284c51.html
1218703453	20250103	202501	2025	2025.0082	EDU	SCHOOL						EDU			LAB	EMPLOYEE						LAB			0	192	192	19	4	-9.5	6	1	6	-0.45248868778281	3	Hailey Elementary School, Idaho, United States	US	USID	ID013	43.516	-114.31	401498	3	Hailey Elementary School, Idaho, United States	US	USID		43.516	-114.31	401498	3	Hailey Elementary School, Idaho, United States	US	USID		43.516	-114.31	401498	20250103141500	https://www.mtexpress.com/news/education/bcsd-grappled-with-budget-shortfall-planned-for-the-future-in-2024/article_4f5bf972-c942-11ef-b28d-93754c284c51.html
1218703454	20250103	202501	2025	2025.0082	EDU	UNIVERSITY						EDU			USA	UNITED STATES	USA								1	112	112	11	3	-2.0	2	1	2	-5.45023696682464	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250103141500	https://www.foxnews.com/opinion/david-marcus-biden-gives-liz-cheney-presidential-medal-insufferability
1218703455	20250103	202501	2025	2025.0082	EDU	UNIVERSITY						EDU			USA	AMERICAN	USA								1	112	112	11	3	-2.0	3	1	3	-5.45023696682464	2	West Virginia, United States	US	USWV		38.468	-80.9696	WV	2	West Virginia, United States	US	USWV		38.468	-80.9696	WV	2	West Virginia, United States	US	USWV		38.468	-80.9696	WV	20250103141500	https://www.foxnews.com/opinion/david-marcus-biden-gives-liz-cheney-presidential-medal-insufferability
1218703456	20250103	202501	2025	2025.0082	ESP	SPAIN	ESP								VEN	VENEZUELA	VEN								1	080	080	08	2	5.0	1	1	1	-3.6231884057971	1	Spain	SP	SP		40	-4	SP	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	20250103141500	https://www.theepochtimes.com/world/venezuelan-government-offers-100000-reward-for-info-on-oppositions-presidential-candidate-5785599
1218703457	20250103	202501	2025	2025.0082	ESP	SPAIN	ESP								VEN	VENEZUELA	VEN								1	080	080	08	2	5.0	3	1	3	-3.6231884057971	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	20250103141500	https://www.theepochtimes.com/world/venezuelan-government-offers-100000-reward-for-info-on-oppositions-presidential-candidate-5785599
1218703458	20250103	202501	2025	2025.0082	EUR	EUROPE	EUR																		0	112	112	11	3	-2.0	10	1	10	-6.2953995157385	1	Hungary	HU	HU		47	20	HU	0								1	Hungary	HU	HU		47	20	HU	20250103141500	https://hungarytoday.hu/western-europes-new-years-eve-riots-as-seen-from-hungary/
1218703459	20250103	202501	2025	2025.0082	EURGOV	EUROPEAN	EUR					GOV			GOV	REGIME						GOV			1	043	043	04	1	2.8	3	1	3	-0.30120481927711	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	1	France	FR	FR		46	2	FR	20250103141500	https://news.az/news/french-german-fms-visit-damascus-for-first-eu-trip-to-syria-in-12-years
1218703460	20250103	202501	2025	2025.0082	FRA	PARIS	FRA																		0	010	010	01	1	0.0	1	1	1	2.36583958453549	4	Salisbury, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	0								4	Salisbury, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20250103141500	https://www.historytoday.com/archive/feature/cult-edward-confessor
1218703461	20250103	202501	2025	2025.0082	FRA	PARIS	FRA																		0	010	010	01	1	0.0	2	1	2	2.36583958453549	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	0								4	Salisbury, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20250103141500	https://www.historytoday.com/archive/feature/cult-edward-confessor
1218703462	20250103	202501	2025	2025.0082	FRA	PARIS	FRA																		0	051	051	05	1	3.4	1	1	1	2.36583958453549	4	Golden Age, Midlands, Zimbabwe	ZI	ZI02	40197	-18.8471	29.7804	-2311611	0								4	Golden Age, Midlands, Zimbabwe	ZI	ZI02	40197	-18.8471	29.7804	-2311611	20250103141500	https://www.historytoday.com/archive/feature/cult-edward-confessor
1218703463	20250103	202501	2025	2025.0082	FRA	PARIS	FRA																		0	051	051	05	1	3.4	1	1	1	2.36583958453549	4	Salisbury, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	0								4	Salisbury, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20250103141500	https://www.historytoday.com/archive/feature/cult-edward-confessor
1218703464	20250103	202501	2025	2025.0082	FRA	PARIS	FRA																		0	051	051	05	1	3.4	1	1	1	2.36583958453549	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	0								4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20250103141500	https://www.historytoday.com/archive/feature/cult-edward-confessor
1218703465	20250103	202501	2025	2025.0082	FRA	PARIS	FRA								GBR	UNITED KINGDOM	GBR								0	010	010	01	1	0.0	1	1	1	2.36583958453549	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20250103141500	https://www.historytoday.com/archive/feature/cult-edward-confessor
1218703466	20250103	202501	2025	2025.0082	FRA	PARIS	FRA								GBR	UNITED KINGDOM	GBR								0	051	051	05	1	3.4	1	1	1	2.36583958453549	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20250103141500	https://www.historytoday.com/archive/feature/cult-edward-confessor
1218703467	20250103	202501	2025	2025.0082	FRA	FRANCE	FRA								USA	IOWA	USA								1	043	043	04	1	2.8	6	1	6	0.26773761713521	4	Lachaise, Limousin, France	FR	FRB1	16293	45.8833	1.85	-1434892	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20250103141500	https://www.yahoo.com/lifestyle/annas-thinking-cap-iowa-99-120358423.html
1218703468	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR																		0	012	012	01	1	-0.4	8	1	8	2.36583958453549	4	Golden Age, Midlands, Zimbabwe	ZI	ZI02	40197	-18.8471	29.7804	-2311611	0								4	Golden Age, Midlands, Zimbabwe	ZI	ZI02	40197	-18.8471	29.7804	-2311611	20250103141500	https://www.historytoday.com/archive/feature/cult-edward-confessor
1218703469	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR																		0	015	015	01	1	0.0	4	1	4	-8.15217391304346	4	Rochdale, Rochdale, United Kingdom	UK	UKL2	40138	53.6167	-2.15	-2606372	0								4	Rochdale, Rochdale, United Kingdom	UK	UKL2	40138	53.6167	-2.15	-2606372	20250103141500	https://www.zerohedge.com/markets/she-deserves-be-prison-outrage-ensues-uk-after-labor-refuses-investigate-rape-gangs
1218703470	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR																		0	020	020	02	1	3.0	2	1	2	-2.26510067114093	4	Leicester, Leicester, United Kingdom	UK	UKH4	40124	52.6333	-1.13333	-2600961	0								4	Leicester, Leicester, United Kingdom	UK	UKH4	40124	52.6333	-1.13333	-2600961	20250103141500	https://www.dailymail.co.uk/news/article-14213863/Englands-care-home-post-code-lottery-revealed-facilities-places-rated-substandard-does-area-compare.html
1218703471	20250103	202501	2025	2025.0082	GBR	BRITAIN	GBR																		0	020	020	02	1	3.0	7	1	7	-3.43866171003718	4	Whitehall, Orkney Islands, United Kingdom	UK	UKV9	40174	59.15	-2.61667	-2611570	0								4	Whitehall, Orkney Islands, United Kingdom	UK	UKV9	40174	59.15	-2.61667	-2611570	20250103141500	https://www.historytoday.com/archive/feature/leaving-independent-burma-behind
1218703472	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR																		0	020	020	02	1	3.0	2	1	2	-3.43866171003718	4	Whitehall, Orkney Islands, United Kingdom	UK	UKV9	40174	59.15	-2.61667	-2611570	0								4	Rangoon, Yangon, Myanmar	BM	BM17	41840	16.8053	96.1561	-440623	20250103141500	https://www.historytoday.com/archive/feature/leaving-independent-burma-behind
1218703473	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR																		1	032	032	03	1	4.5	2	1	2	-8.15217391304346	4	Rochdale, Rochdale, United Kingdom	UK	UKL2	40138	53.6167	-2.15	-2606372	0								4	Rochdale, Rochdale, United Kingdom	UK	UKL2	40138	53.6167	-2.15	-2606372	20250103141500	https://www.zerohedge.com/markets/she-deserves-be-prison-outrage-ensues-uk-after-labor-refuses-investigate-rape-gangs
1218703474	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR																		1	032	032	03	1	4.5	2	1	2	-8.15217391304346	4	Rochdale, Rochdale, United Kingdom	UK	UKL2	40138	53.6167	-2.15	-2606372	0								1	Pakistan	PK	PK		30	70	PK	20250103141500	https://www.zerohedge.com/markets/she-deserves-be-prison-outrage-ensues-uk-after-labor-refuses-investigate-rape-gangs
1218703475	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR																		1	043	043	04	1	2.8	5	1	5	0.26773761713521	1	United Kingdom	UK	UK		54	-4	UK	0								2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	20250103141500	https://www.yahoo.com/lifestyle/annas-thinking-cap-iowa-99-120358423.html
1218703476	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR																		1	043	043	04	1	2.8	4	1	4	3.17460317460317	1	United Kingdom	UK	UK		54	-4	UK	0								1	United States	US	US		39.828175	-98.5795	US	20250103141500	https://www.tvguide.co.uk/schedule/7ffa3b03-e9cc-521d-911b-7ec951b4daca/wheeler-dealers
1218703477	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR																		0	051	051	05	1	3.4	1	1	1	2.36583958453549	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	0								4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20250103141500	https://www.historytoday.com/archive/feature/cult-edward-confessor
1218703478	20250103	202501	2025	2025.0082	GBR	BRITISH	GBR																		0	051	051	05	1	3.4	10	1	10	-4.14593698175787	4	Smeeth, Kent, United Kingdom	UK	UKG5	40117	51.1167	0.966667	-2608040	0								4	Smeeth, Kent, United Kingdom	UK	UKG5	40117	51.1167	0.966667	-2608040	20250103141500	https://www.fenlandcitizen.co.uk/news/footpath-decision-is-pyrrhic-victory-claims-landowner-9398580/
1218703479	20250103	202501	2025	2025.0082	GBR	BRITAIN	GBR																		0	080	080	08	2	5.0	9	1	9	-3.43866171003718	4	Whitehall, Orkney Islands, United Kingdom	UK	UKV9	40174	59.15	-2.61667	-2611570	0								4	Whitehall, Orkney Islands, United Kingdom	UK	UKV9	40174	59.15	-2.61667	-2611570	20250103141500	https://www.historytoday.com/archive/feature/leaving-independent-burma-behind
1218703480	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR																		0	090	090	09	2	-2.0	1	1	1	-8.15217391304346	4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	0								4	Bristol, Bristol, City of, United Kingdom	UK	UKB7	40094	51.45	-2.58333	-2590919	20250103141500	https://www.zerohedge.com/markets/she-deserves-be-prison-outrage-ensues-uk-after-labor-refuses-investigate-rape-gangs
1218703481	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR																		0	090	090	09	2	-2.0	1	1	1	-8.15217391304346	4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	0								4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	20250103141500	https://www.zerohedge.com/markets/she-deserves-be-prison-outrage-ensues-uk-after-labor-refuses-investigate-rape-gangs
1218703482	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR																		0	111	111	11	3	-2.0	2	1	2	-8.15217391304346	4	Rochdale, Rochdale, United Kingdom	UK	UKL2	40138	53.6167	-2.15	-2606372	0								4	Rochdale, Rochdale, United Kingdom	UK	UKL2	40138	53.6167	-2.15	-2606372	20250103141500	https://www.zerohedge.com/markets/she-deserves-be-prison-outrage-ensues-uk-after-labor-refuses-investigate-rape-gangs
1218703483	20250103	202501	2025	2025.0082	GBR	BRITISH	GBR																		0	120	120	12	3	-4.0	10	1	10	-4.14593698175787	4	Smeeth, Kent, United Kingdom	UK	UKG5	40117	51.1167	0.966667	-2608040	0								4	Smeeth, Kent, United Kingdom	UK	UKG5	40117	51.1167	0.966667	-2608040	20250103141500	https://www.fenlandcitizen.co.uk/news/footpath-decision-is-pyrrhic-victory-claims-landowner-9398580/
1218703484	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR								BUS	ENTREPRENEUR						BUS			1	060	060	06	2	6.0	4	1	4	5.21739130434783	5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	20250103141500	https://www.tvguide.co.uk/schedule/79ffa2f1-4f93-5b24-bf36-967f0fd01c44/celebrity-escape-to-the-country
1218703485	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR								CRM	GANG						CRM			0	020	020	02	1	3.0	2	1	2	-5.09893455098935	4	Rochdale, Rochdale, United Kingdom	UK	UKL2	40138	53.6167	-2.15	-2606372	4	Rochdale, Rochdale, United Kingdom	UK	UKL2	40138	53.6167	-2.15	-2606372	4	Rochdale, Rochdale, United Kingdom	UK	UKL2	40138	53.6167	-2.15	-2606372	20250103141500	https://www.dailymail.co.uk/news/article-14246771/Rotherham-grooming-gang-victim-demands-new-public-inquiry-scandals-amid-growing-war-Elon-Musk-Keir-Starmer.html
1218703486	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR								CRM	GANG						CRM			1	1014	101	10	3	-5.0	2	1	2	-5.09893455098935	4	Rotherham, Rotherham, United Kingdom	UK	UKL3	40130	53.4333	-1.35	-2606551	4	Rotherham, Rotherham, United Kingdom	UK	UKL3	40130	53.4333	-1.35	-2606551	4	Greater Manchester, United Kingdom (general), United Kingdom	UK	UK00	40111	53.45	-2.23333	-2597513	20250103141500	https://www.dailymail.co.uk/news/article-14246771/Rotherham-grooming-gang-victim-demands-new-public-inquiry-scandals-amid-growing-war-Elon-Musk-Keir-Starmer.html
1218703487	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR								CRM	GANG						CRM			1	1014	101	10	3	-5.0	6	1	6	-5.09893455098935	4	Rotherham, Rotherham, United Kingdom	UK	UKL3	40130	53.4333	-1.35	-2606551	4	Rotherham, Rotherham, United Kingdom	UK	UKL3	40130	53.4333	-1.35	-2606551	4	Rotherham, Rotherham, United Kingdom	UK	UKL3	40130	53.4333	-1.35	-2606551	20250103141500	https://www.dailymail.co.uk/news/article-14246771/Rotherham-grooming-gang-victim-demands-new-public-inquiry-scandals-amid-growing-war-Elon-Musk-Keir-Starmer.html
1218703488	20250103	202501	2025	2025.0082	GBR	LONDON	GBR								CVL	VILLAGE						CVL			0	042	042	04	1	1.9	2	1	2	2.05706702057067	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Bicester, Oxfordshire, United Kingdom	UK	UKK2	40127	51.9	-1.15	-2589863	4	Bicester, Oxfordshire, United Kingdom	UK	UKK2	40127	51.9	-1.15	-2589863	20250103141500	https://www.dailymail.co.uk/news/article-14243495/unlikely-tourist-hotspot-heart-rural-Oxfordshire-Bicester-Village.html
1218703489	20250103	202501	2025	2025.0082	GBR	LONDON	GBR								CVL	COMMUNITY						CVL			1	071	071	07	2	7.4	2	1	2	1.74418604651163	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250103141500	https://www.propertyweek.com/news/london-civ-and-church-of-england-invest-over-100m-in-housing-fund
1218703490	20250103	202501	2025	2025.0082	GBR	UNITED KINGDOM	GBR								GBRCVL	UNITED KINGDOM	GBR					CVL			0	042	042	04	1	1.9	1	1	1	2.05706702057067	4	Bicester, Oxfordshire, United Kingdom	UK	UKK2	40127	51.9	-1.15	-2589863	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250103141500	https://www.dailymail.co.uk/news/article-14243495/unlikely-tourist-hotspot-heart-rural-Oxfordshire-Bicester-Village.html
